Gerencia Operaciones Industriales y Sum.;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Gerencia Operaciones Madera;MZZM100001;ANVE;Gerencia Operaciones Industriales y Sum.
Jefatura Bodega Planta;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Compras;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Empaque;MZZM100001;ANVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Equipos Moviles;MZZM101001;ANVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Ingenier�a y Proyectos;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Mantenimiento Mecanico;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Mantto Electrico;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Produccion Planta Quimica;QVLH100001;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Secado;MZZM200107;ANVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Servicios y Log. Inter.;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Terminacion y Revestimiento;TZZT200904;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura de Transporte;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura Int de Servicios Industriales;TZZT205010;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura Planificacion y Control Prod.;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura Planificacion y Gestion  Mantto;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura Produccion Aserradero;MZZM200103;FIVE;Gerencia Operaciones Industriales y Sum.
Jefatura Red de Almacenes;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Linea 1;MZZM200103;ANVE;Gerencia Operaciones Industriales y Sum.
Linea 3;MZZM200103;ANVE;Gerencia Operaciones Industriales y Sum.
Linea Preparacion de Madera;TZZT200205;FIVE;Gerencia Operaciones Industriales y Sum.
Linea Produccion MDP;TZZT200213;FIVE;Gerencia Operaciones Industriales y Sum.
Produccion Aserradero;MZZM200103;ANVE;Gerencia Operaciones Industriales y Sum.
Produccion Tableros MDF;TZZT200213;FIVE;Gerencia Operaciones Industriales y Sum.
Produccion Tableros MDP;TZZT200213;FIVE;Gerencia Operaciones Industriales y Sum.
Registro y Control  Produccion;MZZM200103;FIVE;Gerencia Operaciones Industriales y Sum.
Servicios Industriales;TZZT205005;FIVE;Gerencia Operaciones Industriales y Sum.
Subgerencia Mantenimiento;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Subgerencia Planificacion de Operaciones;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Sup.Mantenimiento Mecanico Aserradero;MZZM205001;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Clasificacion y Empaque;MZZM200108;ANVE;Gerencia Operaciones Industriales y Sum.
Supervision Control de Calidad;TZZT205004;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision de Almacen;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision de Empaque;MZZM200108;ANVE;Gerencia Operaciones Industriales y Sum.
Supervision de Servicios Generales;MZZM205001;ANVE;Gerencia Operaciones Industriales y Sum.
Supervision Mantenimiento Electrico;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Mantto. Mecanico;TZZT205008;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Produccion Planta Quimica;QVLH100003;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Remanufactura;MZZM200111;ANVE;Gerencia Operaciones Industriales y Sum.
Supervision Servicios Integrales Ind;TZZT205010;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Terminacion y Revestimiento;TZZT200904;FIVE;Gerencia Operaciones Industriales y Sum.
Supervision Turno Logistica;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Gerencia SMS y PCP;TZZH101001;FIVE;Gerencia SMS y PCP
Jefatura de Salud Ocupacional;TZZH101001;FIVE;Gerencia SMS y PCP
Jefatura de Salud, MA y Seguridad;TZZH101001;FIVE;Gerencia SMS y PCP
Jefatura Gesti�n Ambiental;TZZH101001;FIVE;Gerencia SMS y PCP
Jefatura Prev. y Control Perdidas;TZZH101001;FIVE;Gerencia SMS y PCP
Supervision Control de Emergencias;TZZH101001;FIVE;Gerencia SMS y PCP
Supervision de Seguridad;TZZH101001;FIVE;Gerencia SMS y PCP
nombre;ceco;sociedad;gerencia_nombre
